FAQ_Question,FAQ_Answer,Most_Similar_MOJ_Description,MOJ_Similarity_Score
  ما هي إجراءات زواج سعودي من مقيمة (مولودة بالسعودية)؟,الإجراءات كالتالي: أ- في حال كانت الزوجة من أم أجنبية فيلزم وجود موافقة من الجهات المختصة (وزارة الداخلية أو إمارة المنطقة) ومن ثم التقديم لخدمة (عقد زواج أو إثبات زواج سابق). ب- في حال كانت الزوجة ابنة مواطنة فلا يتطلب خطاب موافقة، ويلزم إرفاق شهادة ميلاد الزوجة وهوية الأم أو سجل الأسرة الخاص بالأم. ج- في حال كانت الزوجة خليجية فلا يلزم موافقة، ما عدا البحرين فيلزم وجود موافقة من الجهات المختصة في البحرين بناء على قوانين الدولة.,يسمح للسعودي بالزواج من غير سعودية مولودة في المملكة من أبوين غير سعوديين، بشرط أن تكون شهادة ميلادها صادرة من سجل المواليد طبقا لنظام الأحوال المدنية وأن تحمل إقامة سارية المفعول أو تحمل تصريحاً خاصاً، وألا يكون طالب الزواج من الفئات الممنوعة المنصوص عليها في المادة الأولى.,0.692928671
أين تقام الدعوى في حال كان المدعي والمدعى عليه في مدينتين مختلفتين؟,ينعقد الاختصاص للمحكمة التي يقع في نطاق اختصاصها مكان إقامة المدعى عليه، عدا الحالات المستثناة نظامًا.,1- يكون الاختصاص للمحكمة التي يقع في نطاق اختصاصها مكان إقامة المدعى عليه، فإن لم يكن لـه مكان إقامة في المملكة فيكون الاختصاص للمحكمة التي يقع في نطاق اختصاصها مكان إقامة المدعي.  2- إذا لم يكن للمدعي والمدعى عليه مكان إقامة في المملكة فللمدعي إقامة دعواه في إحدى محاكم مدن المملكة.  3- إذا تعدد المدعى عليهم يكون الاختصاص للمحكمة التي يقع في نطاق اختصاصها مكان إقامة الأكثرية، وفي حال التساوي يكون المدعي بالخيار في إقامة الدعوى أمام أي محكمة يقع في نطاق اختصاصها مكان إقامة أحدهم.,0.71822059
على من ترفع الدعوى الجزائية الخاصة؟,ترفع دعوى الحق الخاص على المتهم إذا كان أهلًا، وعلى الولي أو الوصي إذا كان المتهم ناقص الأهلية، فإن لم يكن للمتهم ولي أو وصي؛ وجب على المحكمة المرفوعة أمامها الدعوى الجزائية أن تقيم عليه وليًا.,ترفع دعوى الحق الخاص على المتهم إذا كان أهلًا، وعلى الولي أو الوصي إذا كان المتهم ناقص الأهلية. فإن لم يكن له ولي أو وصي، وجب على المحكمة المرفوعة أمامها الدعوى الجزائية أن تقيم عليه وليًا.,0.857048392
كم المدة المحددة التي يجب على المحامي المتدرب استكمال طلبه للحصول على شهادة التدريب بعد إضافته من المحامي المُدرب في بوابة (ناجز)؟,يلزم المتدرب تقديم طلب التدريب مباشرة، علماً أن صلاحية إضافة المحامي للمتدرب لديه في قائمة (المتدربون لدي) ببوابة (ناجز) مدتها (90) يوماً، ولا يمكن تقديم الطلب بعد انتهائها، ويلزم إضافة جديدة للتقديم,يعتبر التدريب في مكاتب المحامين خبرة في طبيعة العمل إذا توافرت الشروط التالية:  أ - أن تتوافر في طالب التدريب شروط القيد في الجدول المنصوص عليها في النظام، وهذه اللائحة -وقت التدريب- عدا شرط الخبرة في طبيعة العمل.  ب - أن يكون التدريب لدى محامي قد أمضى مدة لا تقل عن خمس سنوات في مزاولة المهنة.  جـ - أن يتفرغ المتدرب لهذا العمل طيلة فترة التدريب وبدوام كامل.  د- أن يقيم المتدرب في مدينة مقر مزاولة المهنة، سواء كان المقر هو المقر الرئيس، أو فرعه.  هـ- أن يكون التدريب في طبيعة العمل المنصوص عليها في الفقرة (ج) من هذه المادة.  و- أن يكون التدريب بموجب عقد كتابي بين المحامي والمتدرّب لديه على أن يتضمن العقد مدة التدريب المحددة.  ز - أن يكون ترافع المتدرب في القضايا وتقديم الاستشارات وكالة عن المحامي.  ح - أن يتقدم المتدرب بعد انتهاء فترة تدريبه بطلب القيد في الجدول خلال مدة لا تزيد على سنتين.,0.690201633
كم تبلغ المدة التي يستمر فيها صندوق النفقة بصرف النفقة للمستفيد؟,يتولى الصندوق صرف النفقة للمستفيد لمدة أربعة وعشرين شهرًا فقط كحد أقصى، ويتم تحديد مدة الصرف بحسب حالة الطلب ونوع الحكم حيث تكون المدة القصوى لمن صدر له حكم نهائي، ويتم تحديد مدة الصرف للفئات الأخرى حسب حالة القضية على ألّا تتجاوز مجموع المدد 24 شهرًا.,يوقف الصندوق صرف النفقة للمستفيد إذا انتفى سبب استحقاقه لها. وعلى كل مستفيد موافاة الصندوق بأي تغيير يؤثر في استحقاقه للنفقة، وذلك خلال عشرة أيام من تاريخ حدوث التغيير.,0.721461763
كم تبلغ المدة المحددة لإيقاف السير في الدعوى؟,يجوز  وقف الدعوى بناء على اتفاق الخصوم على عدم السير فيها مدة لا تزيد على ستة أشهر من تاريخ إقرار المحكمة اتفاقهم، وإذا رأت المحكمة تعليق حكمها في موضوع الدعوى على الفصل في مسألة أخرى يتوقف عليها الحكم، فتأمر بوقف الدعوى، وبمجرد زوال سبب التوقف يكون للخصوم طلب السير في الدعوى.,يجوز وقف الدعوى بناء على اتفاق الخصوم على عدم السير فيها مدة لا تزيد على ستة أشهر من تاريخ إقرار المحكمة اتفاقهم، ولا يكون لهذا الوقف أثر في أي موعد حتمي قد حدده النظام لإجراء ما.  وإن طلب أحد الخصوم السير في الدعوى قبل انتهاء المدة المتفق عليها، فله ذلك بموافقة خصمه.  وإذا لم يعاود الخصوم السير في الدعوى في الأيام العشرة التالية لنهاية الأجل، عُدَّ المدعي تاركاً دعواه.,0.78906287
كم تبلغ رسوم إصدار ترخيص مكتب محاماة أجنبي مؤقت؟,يبلغ رسم إصدار الترخيص لمكتب المحاماة الأجنبي 2000 ريال.,1- تكون مدة الترخيص لمزاولة مكتب المحاماة الأجنبي مهنة المحاماة في المملكة (خمس) سنوات، قابلة للتجديد لمدة أو لمدد أخرى مماثلة وفقاً للشروط المحددة في المادة (الخامسة والأربعين) من هذا النظام.  2- يكون رسم إصدار الترخيص لمكتب المحاماة الأجنبي بمبلغ قدره (ألفا) ريال، و(ألف) ريال عند تجديده.,0.70463512
كم تبلغ رسوم إصدار ترخيص مكتب محاماة أجنبي؟,يبلغ رسم إصدار الترخيص لمكتب المحاماة الأجنبي 2000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة,1- تكون مدة الترخيص لمزاولة مكتب المحاماة الأجنبي مهنة المحاماة في المملكة (خمس) سنوات، قابلة للتجديد لمدة أو لمدد أخرى مماثلة وفقاً للشروط المحددة في المادة (الخامسة والأربعين) من هذا النظام.  2- يكون رسم إصدار الترخيص لمكتب المحاماة الأجنبي بمبلغ قدره (ألفا) ريال، و(ألف) ريال عند تجديده.,0.734927535
كم تبلغ رسوم تجديد ترخيص مكتب محاماة أجنبي؟,يكون رسم تجديد الترخيص لمكتب المحاماة الأجنبي 1000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة,1- تكون مدة الترخيص لمزاولة مكتب المحاماة الأجنبي مهنة المحاماة في المملكة (خمس) سنوات، قابلة للتجديد لمدة أو لمدد أخرى مماثلة وفقاً للشروط المحددة في المادة (الخامسة والأربعين) من هذا النظام.  2- يكون رسم إصدار الترخيص لمكتب المحاماة الأجنبي بمبلغ قدره (ألفا) ريال، و(ألف) ريال عند تجديده.,0.72410344
كم تبلغ قيمة التكاليف القضائية لطلب أحد الخصوم السير في الدعوى الموقوفة اتفاقًا قبل انتهاء المدة المتفق عليها لوقف الخصومة؟,مائة ريال.,تُقدّر التكاليف القضائية للطلبات الواردة في المادة (السابعة) من النظام على النحو الآتي:  1- طلب التماس إعادة النظر؛ عشرة آلاف ريال.  2- طلب النقض؛ سبعة آلاف ريال.  3- طلب الاستئناف؛ خمسة آلاف ريال.  4 - طلب الإدخال من الخصوم، وطلب الرد، وطلب تصحيح الحكم أو تفسيره، وطلب وقف تنفيذ الحكم ألفا ريال.  5- الطلب العارض؛ ألف ريال.  6- طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقاً قبل انتهاء المدة المتفق عليها لوقف الخصومة؛ مائة ريال.,0.649248844
