term_en,description_english,description_arabic,term_arabic
MITTIMUS,"The name of an order in writing, issuing from a court and directing the sheriff or other officer to take a person to a prison, asylum, or reformatory, and directing the jailer or other appropriate official to receive and safely keep the person until his or her fate shall be determined by due course of law.","""ميتيماس"" - تسمية أمر يصدر خطيًا تصدره محكمة مكلفًة شرطة أو غيره من المسؤولين بأخذ شخص إلى السجن أو المشفى أو مصحة الأمراض العقلية. تقوم بتسليم الشخص إلى السجان أو مسؤول مناسب آخر يأمره بالإحتفاظ به حتى يحدد قدره حسب مسار القانون المقرر.","""ميتيماس"""
MODIFICATION,A spoken or written request that one side makes to ask the judge to make a decision on an order on a specific point.,-تعديل - طلب شفهي أو خطي يقدمه أحد الأطراف إلى القاضي لاتخاذ قرار بأمر ما أو الحكم حول نقطة معينة.,"""تعديل"""
MOOT,"A point or question related to a legal case that usually has no practical importance or relevance to the case. A moot point is a point that can’t be resolved by the judge, is not disputed by either side, or is resolved out of court.",نقطة عديمة - نقطة أو سؤال يتعلق بقضية قانونية ليس لها أهمية عملية أو ذات صلة بالقضية. نقطة عديمة هي نقطة لا يمكن للقاضي حلها، أو لا جدال من الطرفين عنها، أو يتم حلها خارج المحكمة.,"""نقطة عديمة"""
MORAL TURPITUDE,"Immorality. An element of crimes inherently bad, as opposed to crimes bad merely because they are forbidden by statute.",سجايا مذمومة - اللا أخلاق - عنصر الجرائم المذمومة بطبيعتها، على عكس الجرائم التي تعتبر مذمومة فقط لأنها محظورة بموجب القانون.,"""سجايا مذمومة"""
MOTION,"Oral or written request made by a party to an action before, during, or after a trial asking the judge to issue a ruling or order in that party’s favor.",طلب - طلب شفهي أو خطي يقدمه طرف إلى القاضي قبل أو خلال أو بعد المحكمة يطلب فيه إصدار حكم أو أمر لصالح ذلك الطرف.,"""طلب"""
MOTION DENIED,Ruling or order issued by the judge refusing the party’s request.,حكم مرفوض - حكم أو أمر يصدره القاضي يرفض فيه طلب الطرف الآخر.,"""حكم مرفوض"""
MOTION GRANTED,Ruling or order issued by the judge approving the party's request.,حكم معتمد - حكم أو أمر يصدره القاضي يقبل فيه طلب الطرف.,"""حكم معتمد"""
MOTION IN LIMINE,A written motion which is usually made before or after the beginning of a jury trial for a protective order against prejudicial questions and statements.,طلب في الحد - طلب مكتوب يقدم عادة قبل أو بعد بدء المحاكمة بواسطة هيئة المحلفين لأمر حماية ضد الأسئلة أو البيانات المجحفة.,"""طلب في الحد"""
MOTION TO QUASH,"A request to make something null or ineffective, such as to “quash a subpoena.”",طلب الإلغاء - طلب يهدف إلى كفالة شيء أو الحد منه.,"""طلب الإلغاء"""
MOTION TO SEVER,"A request usually by defense, to have a separate trial as to either jointly tried defendants or jointly charged counts.",طلب للفصل - طلب يقدم عادة، طلب من الدفاع لعقد محاكمة منفصلة للأك من المدعى عليهم تحت تهم مشتركة أو بتهم مشتركة لتمييز مكانتهم القانونية.,"""طلب للفصل"""
CHILD MOLESTATION,"Any form of indecent or sexual activity on, involving, or surrounding a child under the age of 18.",أي نوع من النشاط الفاحش أو الجنسي يتم حوله أو يشمله طفل تحت سن الثامنة عشر.,التحرش بالأطفال
CHILD PORNOGRAPHY,Any obscene material that depicts a person under the age of 18 years personally engaging in or personally simulating sexual conduct.,أي مادة إباحية تصور شخصاً تحت الثامنة عشر من عمره يشترك شخصياً أو يقلد سلوكيات جنسية.,الإباحية الطفلية
CHILD PROCUREMENT,"Intentionally giving, transporting, providing, or making available or offering to give, transport, provide, or make available a child under the age of 16 for the purpose of any lewd or lascivious act.",عمل متعمد بتسليم، نقل، توفير أو تيسير طفل تحت سن السادسة عشر لأي فعل فاضح أو شهواني.,استقدام الأطفال
CHILD SUPPORT,Money paid by a parent to help support a child or children.,النفقة - مبالغ يدفعها أحد الوالدين للمساعدة في تربية الأطفال أو رعايتهم.,نفقة الطفل
CHILD SUPPORT ENFORCEMENT,Agency that exists in every state to find parents that don't have custody.,هيئة حكومية تتواجد في كل ولاية للبحث عن الآباء الذين لا يملكون حق الحضانة.,تنفيذ نفقة الأطفال
CIRCUMSTANTIAL EVIDENCE,All evidence that is indirect. Connoted based on actual personal knowledge or observation of the facts in dispute.,جميع الأدلة التي تكون غير مباشرة. تعني استنتاجية معتمدة على المعرف ة بالشخص أو ملاحظة واقعة معينة.,بيّنة ظرفية
CITATION,A COURT ORDER OR SUMMONS that tells a defendant that he charges are. Also tells the defendant to go to court and/or post bail.,مذكرة دعوى - مذكرة أو استدعاء يبلغ المتهم بالرسوم المفروضة عليه، ويطلب من المتهم القدوم للمحكمة. أو دفع كفالة,مذكرة
CITED,"When a defendant is not in custody, but has signed a ticket promising to go to court on a certain day.",مصدر - عندما يكون المتهم ليس تحت توقيف لكن قد وقع على تذكرة تعهد بالحضور للمحكمة في يوم معين.,مصدر
CIVIL ACTION,"Noncriminal case in which one private individual or business sues another to protect, enforce private or civil rights.",أمر مدني - نوع من القضايا غير الجنائية يقوم فيها فرد خاص أو شركة بمقاضاة آخر لحماية حقوق مدنية أو خاصة.,أمر مدني
CIVIL CASE,"A lawsuit to get property back, to force someone to complete a contract, or to protect someone's civil rights.",قضية مدنية - دعوى قضائية لاستعادة ممتلكات، لإجبار شخص على إبرام عقد، أو لحماية حقوق مدنية للشخص.,قضية مدنية
CIVIL JURISDICTION,A court's right or power to hear noncriminal civil cases.,القضاء المدني - حق الجهة المكلفة بأن تسمع نظر قضايا مدنية غير جنائية.,الولاية القضائية المدنية
POSSESSION OF DRUGS,The presence of drugs on the accused for recreational use or for the purpose to sell.,حيازة مخدرات - وجود مخدرات في حوزة المتهم بقصد الاستهلاك الشخصي أو بقصد الترويج.,حيازة مخدرات
POST CONVICTION,A procedure by which a convicted defendant challenges the conviction and/or sentence on the basis of some alleged violation or error.,بعد الإدانة - أجراء يتقدم به المتهم بعد إدانته للطعن في الحكم الصادر ضده بالحكم أو أنها مختلفة.,بعد الإدانة
POSTPONEMENT,To put off or delay a court hearing.,تأجيل - تأخير جلسة أو تأجيلها.,تأجيل
POUR-OVER WILL,A will that leaves some or all estate property to a trust established before the will-maker's death.,تصبب إرادة - إرادة وريث جزء أو كل الأملاك، أو جميع الأملاك التي أنشأت الثقة قبل وفاة صانع الوصية.,تصب إرادة
